run_id	source_or_candidate_id	decision	reason_code	reason_detail	previous_status	new_status	reviewer	date
2026-09-05-wechat-discovery-01	WC-2026-0001	queued_for_review	wechat_reverse_discovery	Official or attributed openEuler discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0002	queued_for_review	wechat_reverse_discovery	Official or attributed DeepFlow / 云杉网络 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0003	queued_for_review	wechat_reverse_discovery	Official or attributed DeepFlow / 云杉网络 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0004	queued_for_review	wechat_reverse_discovery	Official or attributed 滴滴技术 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0005	queued_for_review	wechat_reverse_discovery	Official or attributed 夜莺监控 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0006	queued_for_review	wechat_reverse_discovery	Official or attributed 夜莺监控 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0007	queued_for_review	wechat_reverse_discovery	Official or attributed 百度云原生 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0008	queued_for_review	wechat_reverse_discovery	Official or attributed 待核实 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0009	queued_for_review	wechat_reverse_discovery	Official or attributed HUATUO 开源技术 discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
2026-09-05-wechat-discovery-01	WC-2026-0010	queued_for_review	wechat_reverse_discovery	Official or attributed Kube-OVN / DeepFlow discovery page exposed the canonical WeChat URL; direct content retrieval requires verification.		pending_review	OpenAI Codex	2026-09-05
